Timestamp
12-11-2024 10:39:17:739890
12-11-2024 10:39:18:052133
12-11-2024 10:39:18:365402
12-11-2024 10:39:18:679681
12-11-2024 10:39:19:064010
12-11-2024 10:39:19:362735
12-11-2024 10:39:19:660451
12-11-2024 10:39:19:949674
12-11-2024 10:39:20:244898
12-11-2024 10:39:20:563168
12-11-2024 10:39:20:850904
12-11-2024 10:39:21:158140
12-11-2024 10:39:21:487671
12-11-2024 10:39:21:790786
12-11-2024 10:39:22:119551
12-11-2024 10:39:22:419264
12-11-2024 10:39:22:699480
12-11-2024 10:39:22:993689
12-11-2024 10:39:23:324941
12-11-2024 10:39:23:724230
12-11-2024 10:39:24:118539
12-11-2024 10:39:24:521889
12-11-2024 10:39:24:931257
12-11-2024 10:39:25:364640
12-11-2024 10:39:25:758983
12-11-2024 10:39:26:142350
12-11-2024 10:39:26:515670
12-11-2024 10:39:26:913013
12-11-2024 10:39:27:316343
12-11-2024 10:39:27:702644
12-11-2024 10:39:28:059934
12-11-2024 10:39:28:427252
12-11-2024 10:39:28:808579
12-11-2024 10:39:29:189866
12-11-2024 10:39:29:577174
12-11-2024 10:39:29:914045
12-11-2024 10:39:30:282483
12-11-2024 10:39:30:663771
12-11-2024 10:39:31:055611
12-11-2024 10:39:31:442930
12-11-2024 10:39:31:822258
12-11-2024 10:39:32:177508
12-11-2024 10:39:32:554821
12-11-2024 10:39:32:937126
12-11-2024 10:39:33:298514
12-11-2024 10:39:33:692836
12-11-2024 10:39:34:073149
12-11-2024 10:39:34:452440
12-11-2024 10:39:34:834794
12-11-2024 10:39:35:166553
12-11-2024 10:39:35:589393
12-11-2024 10:39:35:980748
12-11-2024 10:39:36:356928
12-11-2024 10:39:36:738724
12-11-2024 10:39:37:118560
12-11-2024 10:39:37:514948
12-11-2024 10:39:37:877254
12-11-2024 10:39:38:319586
12-11-2024 10:39:38:714959
12-11-2024 10:39:39:100112
12-11-2024 10:39:39:480157
12-11-2024 10:39:39:849959
12-11-2024 10:39:40:209213
12-11-2024 10:39:40:579103
12-11-2024 10:39:40:973353
12-11-2024 10:39:41:364714
12-11-2024 10:39:41:743008
12-11-2024 10:39:42:139371
12-11-2024 10:39:42:523692
12-11-2024 10:39:42:903987
12-11-2024 10:39:43:286788
12-11-2024 10:39:43:661517
12-11-2024 10:39:44:027812
12-11-2024 10:39:44:368238
12-11-2024 10:39:44:721990
12-11-2024 10:39:45:072751
12-11-2024 10:39:45:442568
12-11-2024 10:39:45:769802
12-11-2024 10:39:46:111683
12-11-2024 10:39:46:508035
12-11-2024 10:39:46:875322
12-11-2024 10:39:47:238089
12-11-2024 10:39:47:641460
12-11-2024 10:39:48:017047
12-11-2024 10:39:48:384037
12-11-2024 10:39:48:759869
12-11-2024 10:39:49:133183
12-11-2024 10:39:49:525976
12-11-2024 10:39:49:894522
12-11-2024 10:39:50:265288
12-11-2024 10:39:50:622085
12-11-2024 10:39:51:015091
12-11-2024 10:39:51:383871
12-11-2024 10:39:51:756161
12-11-2024 10:39:52:136482
12-11-2024 10:39:52:528762
12-11-2024 10:39:52:913193
12-11-2024 10:39:53:280493
12-11-2024 10:39:53:670856
12-11-2024 10:39:54:073142
12-11-2024 10:39:54:452973
12-11-2024 10:39:54:823249
12-11-2024 10:39:55:212128
12-11-2024 10:39:55:600449
12-11-2024 10:39:55:943699
12-11-2024 10:39:56:317013
12-11-2024 10:39:56:675288
12-11-2024 10:39:57:062588
12-11-2024 10:39:57:433915
12-11-2024 10:39:57:784175
12-11-2024 10:39:58:163000
12-11-2024 10:39:58:571307
12-11-2024 10:39:58:980598
12-11-2024 10:39:59:366913
12-11-2024 10:39:59:723651
12-11-2024 10:40:00:113055
12-11-2024 10:40:00:465843
12-11-2024 10:40:00:832671
12-11-2024 10:40:01:171418
12-11-2024 10:40:01:577777
12-11-2024 10:40:01:949063
12-11-2024 10:40:02:323872
12-11-2024 10:40:02:668639
12-11-2024 10:40:03:041443
12-11-2024 10:40:03:398228
12-11-2024 10:40:03:771523
12-11-2024 10:40:04:111791
12-11-2024 10:40:04:455536
12-11-2024 10:40:04:813313
12-11-2024 10:40:05:135581
12-11-2024 10:40:05:528116
12-11-2024 10:40:05:895970
12-11-2024 10:40:06:293828
12-11-2024 10:40:06:687158
12-11-2024 10:40:07:080959
12-11-2024 10:40:07:464868
12-11-2024 10:40:07:825167
12-11-2024 10:40:08:172940
12-11-2024 10:40:08:543765
12-11-2024 10:40:08:915125
12-11-2024 10:40:09:295455
12-11-2024 10:40:09:630734
